0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	SM	MM	SLAB	ASIC
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	20.0	42.0	115.0	206.0	368.0	610.0	871.0	1283.0	1746.0	2279.0	3114.0	4178.0	5773.0	8336.0	12924.0	19508.0	25784.0	28018.0	25480.0	22455.0	19519.0	17688.0	16963.0	16268.0	15644.0	15090.0	14664.0	14027.0	13927.0	13574.0	13354.0	13522.0	13044.0	13151.0	12940.0	13079.0	13160.0	13739.0	13940.0	14290.0	14049.0	14133.0	14211.0	14139.0	14767.0	15011.0	15650.0	16501.0	17259.0	19074.0	22341.0	26516.0	30812.0	30515.0	25911.0	19246.0	13073.0	8563.0	5615.0	4062.0	3155.0	2374.0	1801.0	1366.0	952.0	656.0	423.0	287.0	127.0	55.0	16.0	7.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42	0	0	542
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	12.0	24.0	68.0	97.0	199.0	304.0	508.0	789.0	1076.0	1547.0	2110.0	2930.0	4133.0	6152.0	9598.0	14966.0	20512.0	23128.0	22069.0	18999.0	16779.0	15299.0	14507.0	13854.0	13105.0	12843.0	12246.0	12125.0	12210.0	11863.0	11728.0	11768.0	11649.0	11412.0	11514.0	11231.0	11504.0	11645.0	12076.0	11591.0	12150.0	12394.0	12694.0	13291.0	13768.0	14582.0	15296.0	16260.0	17621.0	20214.0	24155.0	26412.0	24787.0	20563.0	14662.0	10165.0	6549.0	4717.0	3475.0	2716.0	2206.0	1750.0	1326.0	972.0	742.0	518.0	393.0	194.0	81.0	39.0	18.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42	0	1	547
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	11.0	18.0	32.0	86.0	160.0	263.0	426.0	663.0	955.0	1402.0	1895.0	2657.0	3832.0	5895.0	9375.0	14900.0	20981.0	24789.0	24129.0	21017.0	18270.0	16777.0	15749.0	14697.0	14095.0	13685.0	13039.0	12940.0	12586.0	12817.0	12457.0	12096.0	12177.0	11941.0	12397.0	12391.0	12610.0	12999.0	13283.0	12833.0	12852.0	13102.0	13713.0	14123.0	15100.0	15495.0	16842.0	18360.0	21056.0	25363.0	29567.0	30030.0	25657.0	19031.0	12930.0	8332.0	5548.0	3964.0	3086.0	2460.0	1897.0	1576.0	1185.0	941.0	718.0	534.0	352.0	164.0	80.0	19.0	7.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42	0	2	548
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	2.0	3.0	3.0	13.0	37.0	89.0	165.0	281.0	472.0	759.0	1156.0	1597.0	2231.0	3108.0	4709.0	7034.0	11537.0	18240.0	25354.0	29246.0	28053.0	24221.0	21308.0	19349.0	17781.0	17225.0	16399.0	15899.0	15532.0	15015.0	14680.0	14618.0	14437.0	14448.0	14227.0	14096.0	13978.0	14135.0	14453.0	14764.0	14925.0	15475.0	15785.0	16063.0	16183.0	16586.0	17290.0	17902.0	19129.0	20512.0	23353.0	27382.0	32282.0	33981.0	30532.0	23641.0	16126.0	10253.0	6734.0	4972.0	3622.0	2798.0	2051.0	1589.0	1158.0	826.0	594.0	365.0	182.0	66.0	42.0	8.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42	0	3	545
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	8.0	9.0	27.0	72.0	160.0	275.0	405.0	686.0	994.0	1513.0	2101.0	2937.0	3986.0	5933.0	9146.0	15230.0	22389.0	28645.0	30665.0	27216.0	23716.0	21297.0	19816.0	18846.0	18198.0	17283.0	16782.0	16188.0	15772.0	15602.0	15523.0	15354.0	15197.0	14904.0	14655.0	14634.0	14447.0	14832.0	15143.0	15175.0	15795.0	15939.0	16580.0	17191.0	17574.0	18256.0	19186.0	20625.0	23560.0	26708.0	31687.0	34766.0	32728.0	26591.0	18570.0	12074.0	7861.0	5204.0	3783.0	2934.0	2222.0	1671.0	1316.0	928.0	709.0	458.0	248.0	117.0	52.0	8.0	4.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42	0	4	546
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0	12.0	32.0	71.0	163.0	275.0	435.0	754.0	1063.0	1592.0	2327.0	3363.0	4920.0	7517.0	11825.0	19406.0	27382.0	31907.0	30333.0	25738.0	22388.0	20423.0	19163.0	18403.0	17671.0	16764.0	16425.0	16045.0	15765.0	15585.0	15771.0	15577.0	15464.0	15274.0	15447.0	15204.0	15381.0	15274.0	15253.0	15701.0	15912.0	16386.0	16694.0	17579.0	18169.0	19086.0	20646.0	22881.0	26733.0	31800.0	34572.0	32427.0	25612.0	18086.0	11675.0	7610.0	5339.0	3870.0	3034.0	2263.0	1760.0	1307.0	1043.0	773.0	472.0	297.0	147.0	47.0	13.0	4.0	5.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42	0	5	543
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	8.0	25.0	84.0	176.0	292.0	461.0	672.0	1078.0	1552.0	2240.0	3064.0	4110.0	6062.0	9473.0	15090.0	23156.0	30380.0	32258.0	28927.0	25066.0	21728.0	20183.0	18800.0	17970.0	17453.0	16664.0	15989.0	16015.0	15741.0	15422.0	15418.0	15308.0	14689.0	14610.0	14721.0	14892.0	15072.0	15304.0	15617.0	15670.0	15837.0	16440.0	16896.0	17467.0	17944.0	18928.0	20090.0	22445.0	24623.0	28704.0	32900.0	34088.0	30159.0	22939.0	15747.0	10133.0	6654.0	4731.0	3481.0	2705.0	2006.0	1531.0	1199.0	848.0	585.0	347.0	185.0	53.0	27.0	8.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42	0	6	544
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	2.0	6.0	10.0	61.0	119.0	227.0	367.0	588.0	844.0	1184.0	1752.0	2399.0	3281.0	4525.0	6246.0	9347.0	14806.0	22625.0	30179.0	33084.0	30763.0	26369.0	23420.0	21972.0	20680.0	19295.0	18840.0	17899.0	17205.0	16906.0	16138.0	15847.0	15747.0	15451.0	15432.0	15400.0	15457.0	15763.0	15989.0	16267.0	16508.0	16506.0	16364.0	17076.0	17697.0	17856.0	18923.0	19954.0	21089.0	22852.0	25498.0	29454.0	33414.0	33785.0	29667.0	22922.0	15687.0	10492.0	7018.0	4942.0	3791.0	2816.0	2193.0	1724.0	1288.0	933.0	667.0	442.0	270.0	125.0	37.0	14.0	6.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42	0	7	541
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	4.0	10.0	16.0	70.0	128.0	202.0	391.0	613.0	920.0	1423.0	1908.0	2765.0	3956.0	5564.0	8506.0	12916.0	19852.0	27475.0	31563.0	30016.0	25836.0	22524.0	20260.0	18908.0	17783.0	17066.0	16325.0	15744.0	15432.0	15001.0	14932.0	14600.0	14213.0	14200.0	13965.0	13858.0	14008.0	13857.0	14006.0	14299.0	14206.0	14314.0	14668.0	14825.0	15178.0	15857.0	16689.0	17340.0	18390.0	20022.0	22410.0	26643.0	30096.0	30894.0	28153.0	22167.0	15929.0	10579.0	6917.0	5012.0	3740.0	2861.0	2280.0	1790.0	1363.0	1074.0	766.0	559.0	402.0	229.0	102.0	29.0	8.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42	1	0	573
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	11.0	24.0	72.0	148.0	287.0	470.0	771.0	1228.0	1921.0	2866.0	4294.0	6098.0	8834.0	14006.0	21228.0	28927.0	31593.0	28634.0	23217.0	20207.0	17875.0	17017.0	16075.0	15643.0	15128.0	14479.0	14328.0	13991.0	13814.0	13704.0	13430.0	13171.0	12992.0	13190.0	13513.0	13713.0	13994.0	13784.0	13703.0	13859.0	14024.0	14193.0	14962.0	15345.0	15755.0	16578.0	17688.0	19625.0	23282.0	27203.0	28590.0	26328.0	21779.0	15680.0	10822.0	7171.0	4885.0	3624.0	2772.0	2082.0	1730.0	1276.0	948.0	723.0	538.0	343.0	221.0	98.0	51.0	17.0	6.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42	1	1	564
